"","vertrouwen","sesKind","sesVolw","geslacht","wrkls","burgst"
"1",2.85003353633144,0.296334507180216,-0.270290243799655,"Man","Ja","nooit getrouwd"
"2",-3.7390170042914,4.21317869027544,-2.33354648745235,"Man","Ja","feitelijk gescheiden"
"3",-1.74377500837675,0.316720670425275,2.475265431625,"Vrouw","Nee","getrouwd"
"4",-2.71038098547066,0.296334507180216,2.475265431625,"Vrouw","Ja","getrouwd"
"5",0.220451966674491,4.85579297250211,1.09430861974426,"Vrouw","Nee","getrouwd"
"6",-4.23007374805421,-2.91673690395315,-1.65124705568039,"Vrouw","Nee","getrouwd"
"7",-1.79029753967187,-2.91673690395315,-0.270290243799655,"Man","Ja","getrouwd"
"8",-0.224082245793202,1.32674539650017,-0.952589675571612,"Man","Nee","getrouwd"
"9",-3.21694523966518,-1.63150833949981,1.11066656808108,"Man","Ja","nooit getrouwd"
"10",-2.23483175213956,-1.63150833949981,-0.952589675571612,"Vrouw","Nee","getrouwd"
"11",-1.28373328547735,0.316720670425275,-2.33354648745235,"Man","Nee","weduwe/weduwnaar"
"12",-1.25271826461394,-0.645423760833147,-0.270290243799655,"Man","Nee","wettelijk gescheiden"
"13",-1.20619573331882,1.62233539812368,-2.33354648745235,"Vrouw","Nee","weduwe/weduwnaar"
"14",-1.74377500837675,-2.27412262172648,-0.952589675571612,"Man","Ja","getrouwd"
"15",-0.730646499987718,-0.988894057273132,1.09430861974426,"Man","Ja","nooit getrouwd"
"16",4.82976802181438,0.93894878940689,2.475265431625,"Vrouw","Nee","getrouwd"
"17",3.34109028009425,0.296334507180216,1.11066656808108,"Vrouw","Nee","nooit getrouwd"
"18",-3.7390170042914,-2.27412262172648,-0.952589675571612,"Vrouw","Nee","getrouwd"
"19",1.83690502794241,4.19279252703038,2.475265431625,"Man","Nee","nooit getrouwd"
"20",1.83690502794241,0.296334507180216,2.475265431625,"Man","Nee","getrouwd"
"21",-2.20381673127615,-0.00280947860647338,-0.952589675571612,"Man","Nee","nooit getrouwd"
"22",-1.25271826461394,-2.27412262172648,-0.270290243799655,"Man","Nee","getrouwd"
"23",1.74014472925804,1.94541953131861,1.11066656808108,"Vrouw","Nee","getrouwd"
"24",2.83452602589973,-0.325893611801399,2.475265431625,"Man","Nee","getrouwd"
"25",0.251466987537902,6.14102153695546,2.475265431625,"Vrouw","Nee","getrouwd"
"26",0.742523731300712,0.296334507180216,1.09430861974426,"Man","Nee","getrouwd"
"27",2.34346928213692,-1.63150833949981,1.11066656808108,"Man","Nee","nooit getrouwd"
"28",3.32558276966254,-0.988894057273132,2.475265431625,"Man","Nee","getrouwd"
"29",2.85003353633144,-0.988894057273132,1.09430861974426,"Vrouw","Nee","wettelijk gescheiden"
"30",-2.75690351676578,-0.645423760833147,1.11066656808108,"Vrouw","Nee","nooit getrouwd"
"31",-0.255097266656613,-0.0267496260147092,-0.270290243799655,"Man","Nee","getrouwd"
"32",-3.21694523966518,1.64627554553192,-0.270290243799655,"Man","Nee","getrouwd"
"33",-0.239589756224908,0.296334507180216,2.475265431625,"Vrouw","Nee","nooit getrouwd"
"34",0.332719775790564,-0.00280947860647338,1.09430861974426,"Man","Nee","nooit getrouwd"
"35",0.823776519553374,-0.301953464393163,-1.63488910734357,"Man","Nee","getrouwd"
"36",-1.72826749794504,-0.988894057273132,2.475265431625,"Vrouw","Nee","getrouwd"
"37",1.83690502794241,-0.00280947860647338,2.475265431625,"Vrouw","Nee","getrouwd"
"38",-2.21932424170785,0.296334507180216,2.475265431625,"Man","Nee","nooit getrouwd"
"39",-2.23483175213956,-1.63150833949981,1.11066656808108,"Vrouw","Nee","getrouwd"
"40",0.83928402998508,2.88362381516879,1.11066656808108,"Vrouw","Ja","nooit getrouwd"
"41",-0.255097266656613,-2.27412262172648,-0.270290243799655,"Man","Ja","getrouwd"
"42",-0.255097266656613,-2.27412262172648,0.428367136309126,"Man","Nee","getrouwd"
"43",-3.75452451472311,1.32674539650017,-0.270290243799655,"Vrouw","Nee","getrouwd"
"44",2.32796177170522,-0.988894057273132,1.09430861974426,"Man","Ja","getrouwd"
"45",-2.71038098547066,-2.27412262172648,-0.270290243799655,"Man","Nee","samenlevingscontract"
"46",-1.25271826461394,-0.349833759209635,1.11066656808108,"Vrouw","Nee","getrouwd"
"47",-2.74139600633407,0.296334507180216,2.475265431625,"Vrouw","Ja","getrouwd"
"48",-3.72350949385969,3.57056440804876,-0.270290243799655,"Man","Nee","getrouwd"
"49",-2.72588849590237,-1.28803804305982,-0.270290243799655,"Vrouw","Nee","getrouwd"
"50",2.32796177170522,2.90756396257703,2.475265431625,"Man","Nee","getrouwd"
"51",-0.239589756224908,-2.27412262172648,-1.63488910734357,"Man","Ja","getrouwd"
"52",2.35897679256863,3.57056440804876,-2.33354648745235,"Vrouw","Nee","getrouwd"
"53",2.34346928213692,-1.63150833949981,-0.270290243799655,"Vrouw","Nee","nooit getrouwd"
"54",1.83690502794241,-2.27412262172648,-0.270290243799655,"Vrouw","Nee","getrouwd"
